,Player,Pos,Age,Tm_x,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Tm_y,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,Signed Using,Guaranteed
301,"Joseph, Cory",PG,29,SAC,44,2,21.5,2.5,5.7,.444,0.7,2.1,.330,1.8,3.5,.513,.506,0.8,1.1,.766,0.6,1.7,2.3,2.5,0.9,0.2,1.0,2.2,6.6,DET,7310000.0,5155000.0,0.0,0.0,0.0,0.0,,7310000.0
302,"Joseph, Cory",PG,29,DET,19,11,26.4,4.7,9.3,.506,0.7,2.0,.368,3.9,7.3,.543,.545,1.9,2.2,.878,0.5,2.6,3.2,5.5,1.2,0.5,1.8,2.2,12.0,DET,7310000.0,5155000.0,0.0,0.0,0.0,0.0,Room Exception,7310000.0
303,"Joseph, Cory",PG,29,DET,19,11,26.4,4.7,9.3,.506,0.7,2.0,.368,3.9,7.3,.543,.545,1.9,2.2,.878,0.5,2.6,3.2,5.5,1.2,0.5,1.8,2.2,12.0,DET,7310000.0,5155000.0,0.0,0.0,0.0,0.0,,7310000.0
304,"Kaminsky, Frank",C,27,PHO,47,13,15.2,2.6,5.5,.471,0.7,1.8,.365,1.9,3.7,.523,.531,0.8,1.3,.617,0.8,3.2,4.0,1.7,0.3,0.4,0.5,1.5,6.6,PHO,2089448.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,2089448.0
305,"Kennard, Luke",SG,24,LAC,63,17,19.6,3.1,6.6,.476,1.6,3.6,.446,1.5,3.0,.511,.597,0.4,0.5,.839,0.2,2.3,2.6,1.7,0.4,0.1,0.8,1.4,8.3,LAC,12727273.0,13745455.0,14763636.0,14763636.0,0.0,0.0,Bird,41236364.0
306,"Kleber, Maxi",PF,29,DAL,50,40,26.8,2.3,5.5,.422,1.7,4.2,.410,0.6,1.3,.460,.580,0.7,0.7,.919,0.9,4.3,5.2,1.4,0.5,0.7,0.6,2.1,7.1,DAL,8750000.0,9000000.0,0.0,0.0,0.0,0.0,Early Bird Rights,8750000.0
307,"Knox, Kevin",SF,21,NYK,42,0,11.0,1.3,3.4,.392,0.8,2.1,.393,0.5,1.3,.389,.514,0.4,0.5,.800,0.2,1.2,1.5,0.5,0.3,0.1,0.4,0.9,3.9,ATL,5845978.0,0.0,0.0,0.0,0.0,0.0,1st Round Pick,5845978.0
308,"Konchar, John",SG,24,MEM,43,0,13.4,1.6,3.2,.500,0.5,1.3,.375,1.1,1.9,.585,.576,0.6,0.7,.833,0.8,2.2,3.0,1.1,0.7,0.2,0.4,0.9,4.3,MEM,2197674.0,2302326.0,2406977.0,0.0,0.0,0.0,MLE,6906977.0
309,"Korkmaz, Furkan",SG,23,PHI,55,11,19.3,3.1,7.7,.401,1.8,4.9,.375,1.3,2.8,.445,.520,1.1,1.5,.732,0.3,1.7,2.1,1.5,0.9,0.2,0.8,1.2,9.1,PHI,4629630.0,5000000.0,5370370.0,0.0,0.0,0.0,Bird,15000000.0
310,"Kuzma, Kyle",SF,25,LAL,68,32,28.7,4.9,11.1,.443,2.0,5.6,.361,2.9,5.5,.525,.533,1.0,1.4,.691,1.6,4.5,6.1,1.9,0.5,0.6,1.7,1.8,12.9,WAS,13000000.0,13000000.0,13000000.0,0.0,0.0,0.0,Bird,26000000.0
311,"Lamb, Jeremy",SG,28,IND,36,8,21.3,3.3,7.7,.435,1.4,3.6,.406,1.9,4.1,.459,.529,2.0,2.1,.947,0.7,2.9,3.6,1.5,0.9,0.6,0.6,2.0,10.1,IND,10500000.0,0.0,0.0,0.0,0.0,0.0,Cap Space,10500000.0
312,"Langford, Romeo",SG,21,BOS,18,4,15.7,1.2,3.3,.356,0.3,1.0,.278,0.9,2.3,.390,.398,0.5,0.7,.750,0.7,1.3,1.9,0.7,0.3,0.3,0.6,1.3,3.1,BOS,3804360.0,5634257.0,0.0,0.0,0.0,0.0,1st Round Pick,9438617.0
313,"LaVine, Zach",SG,25,CHI,58,58,35.1,9.8,19.4,.507,3.4,8.2,.419,6.4,11.1,.571,.596,4.4,5.1,.849,0.6,4.4,5.0,4.9,0.8,0.5,3.5,2.4,27.4,CHI,19500000.0,0.0,0.0,0.0,0.0,0.0,Cap space,19500000.0
314,"Layman, Jake",SF,26,MIN,45,11,13.9,2.0,4.1,.495,0.5,1.7,.295,1.5,2.4,.642,.557,0.6,0.8,.703,0.3,1.2,1.5,0.6,0.6,0.4,0.6,1.0,5.1,MIN,3940184.0,0.0,0.0,0.0,0.0,0.0,Sign and Trade,3940184.0
315,"Lee, Damion",SG,28,GSW,57,1,18.9,2.2,4.8,.467,1.4,3.4,.397,0.9,1.4,.638,.608,0.7,0.8,.909,0.4,2.8,3.2,1.3,0.7,0.1,0.5,1.6,6.5,GSW,1910860.0,0.0,0.0,0.0,0.0,0.0,,0.0
316,"Lee, Saben",PG,21,DET,48,7,16.3,2.1,4.4,.471,0.2,0.5,.348,1.9,3.9,.487,.490,1.3,1.9,.685,0.4,1.6,2.0,3.6,0.7,0.3,1.1,1.6,5.6,DET,1489065.0,1752638.0,1902137.0,0.0,0.0,0.0,Cap Space,3241703.0
317,"Len, Alex",C,27,TOT,64,42,15.3,2.7,4.3,.615,0.1,0.4,.320,2.5,4.0,.644,.629,1.1,1.8,.629,1.2,2.8,4.1,0.8,0.3,1.0,0.9,2.0,6.6,SAC,3731707.0,3918293.0,0.0,0.0,0.0,0.0,Bi-Annual Exception,7650000.0
318,"Len, Alex",C,27,TOR,7,2,10.9,0.7,1.4,.500,0.4,0.9,.500,0.3,0.6,.500,.650,0.4,0.9,.500,0.0,1.6,1.6,0.4,0.1,0.9,1.1,1.4,2.3,SAC,3731707.0,3918293.0,0.0,0.0,0.0,0.0,Bi-Annual Exception,7650000.0
319,"Len, Alex",C,27,WAS,57,40,15.8,2.9,4.7,.619,0.1,0.3,.263,2.8,4.4,.647,.629,1.2,1.9,.636,1.4,3.0,4.4,0.8,0.3,1.0,0.8,2.1,7.1,SAC,3731707.0,3918293.0,0.0,0.0,0.0,0.0,Bi-Annual Exception,7650000.0
320,"Leonard, Kawhi",SF,29,LAC,52,52,34.1,8.9,17.5,.512,1.9,4.9,.398,7.0,12.6,.557,.568,5.0,5.7,.885,1.1,5.4,6.5,5.2,1.6,0.4,2.0,1.6,24.8,LAC,39344900.0,42492492.0,45640084.0,48787676.0,0.0,0.0,Early Bird,127477476.0
321,"LeVert, Caris",SG,26,TOT,47,39,31.6,7.6,17.3,.441,1.8,5.5,.326,5.9,11.8,.495,.493,3.1,3.8,.811,0.7,3.9,4.6,5.2,1.4,0.6,2.2,2.2,20.2,IND,17500000.0,18796296.0,0.0,0.0,0.0,0.0,1st Round pick,36296296.0
322,"LeVert, Caris",SG,26,BRK,12,4,27.8,7.3,16.7,.435,1.8,5.3,.349,5.4,11.4,.474,.490,2.2,2.8,.765,0.8,3.5,4.3,6.0,1.1,0.5,2.2,1.7,18.5,IND,17500000.0,18796296.0,0.0,0.0,0.0,0.0,1st Round pick,36296296.0
323,"LeVert, Caris",SG,26,IND,35,35,32.9,7.8,17.5,.443,1.8,5.6,.318,6.0,12.0,.501,.493,3.4,4.2,.822,0.7,4.0,4.6,4.9,1.5,0.7,2.2,2.4,20.7,IND,17500000.0,18796296.0,0.0,0.0,0.0,0.0,1st Round pick,36296296.0
324,"Jr., Lewis, Kira",PG,19,NOP,54,0,16.7,2.4,6.2,.386,0.7,2.2,.333,1.7,4.0,.415,.445,0.8,0.9,.843,0.2,1.1,1.3,2.3,0.7,0.2,0.6,1.6,6.4,NOP,3822240.0,4004280.0,5722116.0,0.0,0.0,0.0,1st Round Pick,7826520.0
325,"Lillard, Damian",PG,30,POR,67,67,35.8,9.0,19.9,.451,4.1,10.5,.391,4.9,9.4,.519,.554,6.7,7.2,.928,0.5,3.7,4.2,7.5,0.9,0.3,3.0,1.5,28.8,POR,39344900.0,42492492.0,45640084.0,48787676.0,0.0,0.0,1st Round Pick,176265152.0
