,Player,Pos,Age,Tm_x,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Tm_y,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,Signed Using,Guaranteed
368,"Millsap, Paul",PF,35,DEN,56,36,20.8,3.4,7.2,.476,0.9,2.6,.343,2.5,4.6,.550,.537,1.3,1.8,.724,1.4,3.3,4.7,1.8,0.9,0.6,0.9,2.0,9.0,BRK,2641691.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,2641691.0
369,"Milton, Shake",SG,24,PHI,63,4,23.2,4.8,10.6,.450,1.1,3.2,.350,3.6,7.4,.494,.503,2.3,2.8,.830,0.5,1.8,2.3,3.1,0.6,0.3,1.6,2.1,13.0,PHI,1846738.0,1997718.0,0.0,0.0,0.0,0.0,Cap Space,1846738.0
370,"Mitchell, Donovan",PG,24,UTA,53,53,33.4,9.0,20.6,.438,3.4,8.7,.386,5.7,11.9,.476,.520,5.0,6.0,.845,0.9,3.5,4.4,5.2,1.0,0.3,2.8,2.2,26.4,UTA,28103550.0,30351834.0,32600118.0,34848402.0,37096686.0,0.0,Bird,125903904.0
371,"Monk, Malik",SG,22,CHO,42,0,20.9,4.1,9.5,.434,2.0,5.0,.401,2.1,4.5,.471,.540,1.4,1.7,.819,0.3,2.1,2.4,2.1,0.5,0.1,1.3,1.1,11.7,LAL,1789256.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,1789256.0
372,"Moore, E'Twaun",SG,31,PHO,27,1,14.4,2.0,4.5,.455,0.4,1.3,.314,1.6,3.2,.512,.500,0.4,0.5,.857,0.5,1.1,1.7,1.5,0.6,0.2,0.9,1.2,4.9,ORL,2641691.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,2641691.0
373,"Morant, Ja",PG,21,MEM,63,63,32.6,6.8,15.2,.449,1.2,3.8,.303,5.7,11.4,.499,.487,4.3,5.9,.728,0.9,3.1,4.0,7.4,0.9,0.2,3.2,1.4,19.1,MEM,9603360.0,12119440.0,0.0,0.0,0.0,0.0,1st Round Pick,21722800.0
374,"Morris, Marcus",PF,31,LAC,57,29,26.4,4.8,10.2,.473,2.5,5.2,.473,2.4,5.1,.472,.592,1.3,1.6,.820,0.6,3.5,4.1,1.0,0.6,0.3,1.0,2.1,13.4,LAC,15627907.0,16372093.0,17116279.0,0.0,0.0,0.0,Non Bird,49116279.0
375,"Morris, Markieff",PF,31,LAL,61,27,19.7,2.5,6.2,.405,1.1,3.4,.311,1.4,2.8,.521,.491,0.6,0.8,.720,0.8,3.6,4.4,1.2,0.4,0.3,0.9,1.7,6.7,MIA,2641691.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,2641691.0
376,"Morris, Monte",PG,25,DEN,47,13,25.4,4.0,8.2,.481,1.1,2.9,.381,2.9,5.4,.534,.547,1.2,1.6,.795,0.2,1.8,2.0,3.2,0.7,0.3,0.7,1.0,10.2,DEN,8333333.0,9000000.0,9666667.0,0.0,0.0,0.0,Bird,27000000.0
377,"Murray, Dejounte",PG,24,SAS,67,67,31.9,6.6,14.5,.453,0.9,3.0,.317,5.6,11.6,.488,.485,1.6,2.0,.791,0.9,6.2,7.1,5.4,1.5,0.1,1.7,2.0,15.7,SAS,15428571.0,16571429.0,17714286.0,0.0,0.0,0.0,1st Round pick,49714286.0
378,"Murray, Jamal",PG,23,DEN,48,48,35.5,7.9,16.5,.477,2.7,6.6,.408,5.2,9.9,.523,.559,2.8,3.2,.869,0.8,3.3,4.0,4.8,1.3,0.3,2.3,2.0,21.2,DEN,31590000.0,33930000.0,36270000.0,38610000.0,0.0,0.0,1st Round pick,140400000.0
379,"Muscala, Mike",C,29,OKC,35,0,18.4,3.4,7.6,.446,1.9,5.3,.370,1.5,2.4,.614,.573,0.9,1.0,.917,0.5,3.2,3.8,0.8,0.2,0.3,0.6,1.5,9.7,OKC,3500000.0,3500000.0,0.0,0.0,0.0,0.0,MLE,3500000.0
380,"Mykhailiuk, Svi",SF-SG,23,TOT,66,14,20.1,3.2,7.7,.411,1.6,4.8,.334,1.6,2.9,.536,.515,0.6,0.8,.760,0.4,2.1,2.5,1.7,0.8,0.2,1.3,1.0,8.5,TOR,1729217.0,1878720.0,0.0,0.0,0.0,0.0,Minimum Salary,1729217.0
381,"Mykhailiuk, Svi",SF,23,DET,36,5,17.6,2.3,6.2,.377,1.6,4.8,.333,0.8,1.4,.519,.504,0.7,0.8,.800,0.3,1.8,2.1,1.6,0.8,0.2,1.1,0.9,6.9,TOR,1729217.0,1878720.0,0.0,0.0,0.0,0.0,Minimum Salary,1729217.0
382,"Mykhailiuk, Svi",SG,23,OKC,30,9,23.0,4.1,9.4,.438,1.6,4.8,.336,2.5,4.7,.543,.523,0.5,0.7,.700,0.4,2.5,3.0,1.8,0.8,0.2,1.6,1.0,10.3,TOR,1729217.0,1878720.0,0.0,0.0,0.0,0.0,Minimum Salary,1729217.0
383,"Nader, Abdel",SF,27,PHO,24,0,14.8,2.4,4.8,.491,0.8,1.8,.419,1.6,3.0,.534,.569,1.2,1.5,.757,0.3,2.3,2.6,0.8,0.4,0.4,0.8,1.4,6.7,PHO,2000000.0,2160000.0,0.0,0.0,0.0,0.0,Bird,2000000.0
384,"Jr., Nance, Larry",PF,28,CLE,35,27,31.2,3.7,7.8,.471,1.2,3.3,.360,2.5,4.5,.551,.546,0.9,1.4,.612,1.5,5.2,6.7,3.1,1.7,0.5,1.6,2.1,9.3,POR,10690909.0,9672727.0,0.0,0.0,0.0,0.0,1st Round pick,20363636.0
385,"Nesmith, Aaron",SF,21,BOS,46,1,14.5,1.7,3.9,.438,0.9,2.3,.370,0.8,1.5,.543,.551,0.5,0.6,.786,0.6,2.2,2.8,0.5,0.3,0.2,0.5,1.9,4.7,BOS,3631200.0,3804360.0,5634257.0,0.0,0.0,0.0,1st Round Pick,7435560.0
386,"Neto, Raul",PG,28,WAS,64,22,21.9,3.3,7.0,.468,1.0,2.6,.390,2.3,4.4,.512,.539,1.2,1.3,.882,0.4,2.0,2.4,2.3,1.1,0.1,0.8,1.7,8.7,WAS,2089448.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,2089448.0
387,"Niang, Georges",PF,27,UTA,72,10,16.0,2.5,5.6,.437,1.7,4.1,.425,0.7,1.6,.469,.590,0.3,0.3,.957,0.4,2.1,2.4,0.8,0.3,0.1,0.7,1.6,6.9,PHI,3300000.0,3465000.0,0.0,0.0,0.0,0.0,MLE,6765000.0
388,"Nnaji, Zeke",PF,20,DEN,42,1,9.5,1.2,2.5,.481,0.6,1.4,.407,0.6,1.1,.578,.596,0.3,0.4,.800,0.3,1.2,1.5,0.2,0.2,0.1,0.2,0.7,3.2,DEN,2498760.0,2617800.0,4306281.0,0.0,0.0,0.0,1st Round Pick,5116560.0
389,"Noel, Nerlens",C,26,NYK,64,41,24.2,2.1,3.5,.614,0.0,0.0,.000,2.1,3.4,.623,.614,0.8,1.1,.714,2.2,4.2,6.4,0.7,1.1,2.2,1.0,2.8,5.1,NYK,8800000.0,9240000.0,9680000.0,0.0,0.0,0.0,Cap Space,18040000.0
390,"Nowell, Jaylen",SG,21,MIN,42,0,18.1,3.4,8.0,.424,1.2,3.6,.333,2.2,4.4,.497,.499,1.1,1.3,.818,0.5,1.8,2.3,1.5,0.5,0.3,0.7,1.7,9.0,MIN,1782621.0,1930681.0,0.0,0.0,0.0,0.0,,0.0
391,"Ntilikina, Frank",PG,22,NYK,33,4,9.8,0.9,2.4,.367,0.7,1.5,.479,0.2,0.9,.194,.513,0.2,0.5,.444,0.2,0.8,0.9,0.6,0.5,0.1,0.3,1.4,2.7,DAL,1789256.0,2036318.0,0.0,0.0,0.0,0.0,Minimum Salary,1789256.0
392,"Nunn, Kendrick",PG,25,MIA,56,44,29.5,5.7,11.8,.485,2.2,5.7,.381,3.5,6.0,.583,.578,1.0,1.1,.933,0.4,2.8,3.2,2.6,0.9,0.3,1.4,1.9,14.6,LAL,5000000.0,5250000.0,0.0,0.0,0.0,0.0,Mini MLE,5000000.0
393,"Nurkić, Jusuf",C,26,POR,37,37,23.8,4.6,9.0,.514,0.3,0.8,.400,4.3,8.2,.525,.532,1.9,3.1,.619,2.3,6.6,9.0,3.4,1.0,1.1,2.0,2.8,11.5,POR,12000000.0,0.0,0.0,0.0,0.0,0.0,Bird Rights,4000000.0
394,"Nwaba, David",SF,28,HOU,30,9,22.6,3.5,7.3,.486,0.6,2.1,.270,3.0,5.2,.574,.525,1.6,2.3,.691,1.3,2.6,3.9,1.0,1.0,0.7,0.6,2.0,9.2,HOU,4650000.0,5022000.0,5394000.0,0.0,0.0,0.0,Early Bird,9672000.0
395,"Nwora, Jordan",SF,22,MIL,30,2,9.1,2.1,4.5,.459,0.9,2.1,.452,1.1,2.4,.466,.563,0.6,0.8,.760,0.3,1.7,2.0,0.2,0.5,0.2,0.8,0.7,5.7,MIL,1517981.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,1517981.0
396,"O'Neale, Royce",SF,27,UTA,71,71,31.6,2.5,5.5,.444,1.5,3.9,.385,1.0,1.6,.586,.580,0.5,0.6,.848,1.2,5.6,6.8,2.5,0.8,0.5,1.2,2.6,7.0,UTA,8678571.0,9321429.0,9964286.0,0.0,0.0,0.0,Cap space,27964286.0
397,"Ojeleye, Semi",PF,26,BOS,56,15,17.0,1.6,3.9,.403,1.0,2.8,.367,0.6,1.1,.492,.534,0.4,0.6,.750,0.6,2.1,2.6,0.7,0.3,0.0,0.4,1.0,4.6,MIL,1789256.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,1789256.0
398,"Okeke, Chuma",PF,22,ORL,45,19,25.2,3.0,7.2,.417,1.1,3.1,.348,1.9,4.1,.470,.492,0.7,0.9,.750,0.9,3.1,4.0,2.2,1.1,0.5,0.8,1.1,7.8,ORL,3277080.0,3433320.0,5266713.0,0.0,0.0,0.0,1st Round Pick,6710400.0
399,"Okogie, Josh",SG,22,MIN,59,37,20.3,1.7,4.3,.402,0.5,1.8,.269,1.2,2.5,.500,.459,1.4,1.8,.769,1.1,1.6,2.6,1.1,0.9,0.5,0.7,2.1,5.4,MIN,4087904.0,0.0,0.0,0.0,0.0,0.0,1st Round Pick,4087904.0
400,"Okongwu, Onyeka",C,20,ATL,50,4,12.0,1.9,3.0,.644,0.0,0.1,.000,1.9,2.9,.658,.644,0.7,1.1,.632,1.2,2.0,3.3,0.4,0.5,0.7,0.6,2.0,4.6,ATL,6104280.0,6395160.0,8109063.0,0.0,0.0,0.0,1st Round Pick,12499440.0
401,"Okoro, Isaac",SG,20,CLE,67,67,32.4,3.5,8.3,.420,0.9,3.2,.290,2.6,5.1,.501,.476,1.7,2.3,.726,1.0,2.1,3.1,1.9,0.9,0.4,1.3,2.8,9.6,CLE,6720720.0,7040880.0,8920795.0,0.0,0.0,0.0,1st Round Pick,13761600.0
402,"Okpala, KZ",PF,21,MIA,37,9,12.1,1.0,2.6,.375,0.3,1.4,.240,0.6,1.2,.522,.438,0.2,0.4,.533,0.6,1.3,1.8,0.5,0.3,0.3,0.4,1.6,2.5,MIA,1782621.0,0.0,0.0,0.0,0.0,0.0,MLE,1782621.0
403,"Oladipo, Victor",SG,28,TOT,33,33,32.7,7.1,17.5,.408,2.4,7.2,.326,4.8,10.2,.466,.476,3.2,4.2,.754,0.4,4.5,4.8,4.6,1.4,0.4,2.5,2.5,19.8,MIA,2389641.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,2389641.0
404,"Oladipo, Victor",SG,28,IND,9,9,33.3,7.1,16.9,.421,2.8,7.7,.362,4.3,9.2,.470,.503,3.0,4.1,.730,0.1,5.6,5.7,4.2,1.7,0.2,2.0,2.6,20.0,MIA,2389641.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,2389641.0
405,"Oladipo, Victor",SG,28,HOU,20,20,33.5,7.8,19.1,.407,2.5,7.7,.320,5.3,11.4,.465,.471,3.3,4.2,.783,0.4,4.4,4.8,5.0,1.2,0.5,2.6,2.3,21.2,MIA,2389641.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,2389641.0
406,"Oladipo, Victor",SG,28,MIA,4,4,27.8,4.0,10.8,.372,1.0,4.3,.235,3.0,6.5,.462,.419,3.0,4.5,.667,0.8,2.8,3.5,3.5,1.8,0.5,3.5,3.3,12.0,MIA,2389641.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,2389641.0
407,"Olynyk, Kelly",C-PF,29,TOT,70,62,28.5,4.8,10.0,.484,1.8,5.3,.342,3.0,4.7,.641,.574,2.1,2.5,.829,1.2,5.7,7.0,2.9,1.1,0.6,1.8,3.0,13.5,DET,12195122.0,12804878.0,12195122.0,0.0,0.0,0.0,Cap Space,28000000.0
408,"Olynyk, Kelly",C,29,MIA,43,38,26.9,3.8,8.7,.431,1.8,5.7,.317,2.0,3.1,.639,.533,0.7,0.9,.775,1.0,5.0,6.1,2.1,0.9,0.6,1.3,2.9,10.0,DET,12195122.0,12804878.0,12195122.0,0.0,0.0,0.0,Cap Space,28000000.0
409,"Olynyk, Kelly",PF,29,HOU,27,24,31.1,6.5,11.9,.545,1.8,4.6,.392,4.7,7.3,.643,.621,4.2,5.0,.844,1.6,6.9,8.4,4.1,1.4,0.6,2.6,3.1,19.0,DET,12195122.0,12804878.0,12195122.0,0.0,0.0,0.0,Cap Space,28000000.0
410,"Oni, Miye",SG,23,UTA,54,0,9.6,0.6,1.8,.354,0.6,1.6,.341,0.1,0.2,.455,.505,0.1,0.1,.833,0.4,1.1,1.6,0.5,0.2,0.1,0.3,1.1,1.9,OKC,850331.0,0.0,0.0,0.0,0.0,0.0,,850331.0
411,"Osman, Cedi",SF,25,CLE,59,26,25.6,3.7,9.9,.374,1.7,5.5,.306,2.0,4.4,.458,.458,1.3,1.6,.800,0.6,2.8,3.4,2.9,0.9,0.2,1.4,2.0,10.4,CLE,8050000.0,7350000.0,6650000.0,0.0,0.0,0.0,MLE,15400000.0
412,"Jr., Oubre, Kelly",SF,25,GSW,55,50,30.7,5.8,13.2,.439,1.6,5.2,.316,4.1,8.0,.519,.501,2.2,3.2,.695,1.5,4.5,6.0,1.3,1.0,0.8,1.3,2.2,15.4,CHO,12000000.0,12600000.0,0.0,0.0,0.0,0.0,Cap Space,17000000.0
413,"Parker, Jabari",PF,25,TOT,13,0,12.7,2.3,4.2,.545,0.2,0.8,.182,2.2,3.4,.636,.564,0.8,1.0,.769,0.8,2.5,3.2,0.8,0.1,0.4,0.8,1.0,5.5,BOS,1068288.0,0.0,0.0,0.0,0.0,0.0,,1168288.0
414,"Parker, Jabari",PF,25,TOT,13,0,12.7,2.3,4.2,.545,0.2,0.8,.182,2.2,3.4,.636,.564,0.8,1.0,.769,0.8,2.5,3.2,0.8,0.1,0.4,0.8,1.0,5.5,BOS,1068288.0,0.0,0.0,0.0,0.0,0.0,,1168288.0
415,"Parker, Jabari",PF,25,SAC,3,0,9.0,1.3,2.3,.571,0.0,0.3,.000,1.3,2.0,.667,.571,0.0,0.0,,0.3,1.7,2.0,0.3,0.0,0.3,1.0,1.3,2.7,BOS,1068288.0,0.0,0.0,0.0,0.0,0.0,,1168288.0
416,"Parker, Jabari",PF,25,SAC,3,0,9.0,1.3,2.3,.571,0.0,0.3,.000,1.3,2.0,.667,.571,0.0,0.0,,0.3,1.7,2.0,0.3,0.0,0.3,1.0,1.3,2.7,BOS,1068288.0,0.0,0.0,0.0,0.0,0.0,,1168288.0
417,"Parker, Jabari",PF,25,BOS,10,0,13.8,2.6,4.8,.542,0.2,1.0,.200,2.4,3.8,.632,.563,1.0,1.3,.769,0.9,2.7,3.6,1.0,0.1,0.4,0.7,0.9,6.4,BOS,1068288.0,0.0,0.0,0.0,0.0,0.0,,1168288.0
418,"Parker, Jabari",PF,25,BOS,10,0,13.8,2.6,4.8,.542,0.2,1.0,.200,2.4,3.8,.632,.563,1.0,1.3,.769,0.9,2.7,3.6,1.0,0.1,0.4,0.7,0.9,6.4,BOS,1068288.0,0.0,0.0,0.0,0.0,0.0,,1168288.0
419,"Paschall, Eric",PF,24,GSW,40,2,17.4,3.7,7.5,.497,0.5,1.4,.333,3.3,6.1,.533,.527,1.7,2.4,.713,0.7,2.5,3.2,1.3,0.3,0.2,1.1,1.7,9.5,UTA,1782621.0,0.0,0.0,0.0,0.0,0.0,MLE,1782621.0
420,"Paul, Chris",PG,35,PHO,70,70,31.4,6.3,12.6,.499,1.5,3.7,.395,4.8,8.9,.543,.557,2.4,2.6,.934,0.4,4.1,4.5,8.9,1.4,0.3,2.2,2.4,16.4,PHO,30800000.0,28400000.0,30800000.0,30000000.0,0.0,0.0,Bird,75000000.0
421,"Payne, Cameron",PG,26,PHO,60,1,18.0,3.2,6.6,.484,1.2,2.8,.440,2.0,3.8,.515,.576,0.8,0.9,.893,0.3,2.1,2.4,3.6,0.6,0.3,1.0,1.6,8.4,PHO,6500000.0,6000000.0,6500000.0,0.0,0.0,0.0,Early Bird,14500000.0
422,"Payton, Elfrid",PG,26,NYK,63,63,23.6,4.3,9.9,.432,0.4,1.6,.286,3.8,8.3,.460,.455,1.2,1.7,.682,1.0,2.4,3.4,3.2,0.7,0.1,1.6,1.8,10.1,PHO,2239544.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,2239544.0
423,"II, Payton, Gary",PG,28,GSW,10,0,4.0,1.0,1.3,.769,0.2,0.4,.500,0.8,0.9,.889,.846,0.3,0.4,.750,0.2,0.9,1.1,0.1,0.6,0.1,0.1,0.8,2.5,GSW,1939350.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,350000.0
424,"Pinson, Theo",SG,25,NYK,17,0,2.0,0.1,0.5,.111,0.0,0.5,.000,0.1,0.1,1.000,.111,0.0,0.0,,0.0,0.3,0.3,0.1,0.0,0.0,0.1,0.2,0.1,DAL,0.0,0.0,0.0,0.0,0.0,0.0,,197076.0
425,"Pinson, Theo",SG,25,NYK,17,0,2.0,0.1,0.5,.111,0.0,0.5,.000,0.1,0.1,1.000,.111,0.0,0.0,,0.0,0.3,0.3,0.1,0.0,0.0,0.1,0.2,0.1,DAL,0.0,0.0,0.0,0.0,0.0,0.0,,197076.0
426,"Plumlee, Mason",C,30,DET,56,56,26.8,4.2,6.8,.614,0.0,0.1,.000,4.2,6.7,.626,.614,2.0,3.0,.669,2.6,6.7,9.3,3.6,0.8,0.9,1.9,3.3,10.4,CHO,8137500.0,8525000.0,0.0,0.0,0.0,0.0,Cap space,16662500.0
427,"Poeltl, Jakob",C,25,SAS,69,51,26.7,3.8,6.2,.616,0.0,0.0,,3.8,6.2,.616,.616,0.9,1.8,.508,3.2,4.8,7.9,1.9,0.7,1.8,1.2,2.5,8.6,SAS,8750000.0,9398148.0,0.0,0.0,0.0,0.0,Bird,18148148.0
428,"Pokusevski, Aleksej",PF,19,OKC,45,28,24.2,3.1,9.1,.341,1.3,4.6,.280,1.8,4.5,.403,.412,0.7,0.9,.738,0.7,4.0,4.7,2.2,0.4,0.9,2.2,1.3,8.2,OKC,3113160.0,3261480.0,5009633.0,0.0,0.0,0.0,1st Round Pick,6374640.0
429,"Poole, Jordan",SG,21,GSW,51,7,19.4,4.0,9.3,.432,1.9,5.4,.351,2.1,3.9,.545,.535,2.1,2.3,.882,0.3,1.5,1.8,1.9,0.5,0.2,1.0,1.7,12.0,GSW,2161440.0,3901399.0,0.0,0.0,0.0,0.0,1st Round Pick,6062839.0
430,"Jr., Porter, Kevin",SG,20,HOU,26,23,32.1,6.0,14.1,.425,1.9,6.2,.311,4.1,7.9,.515,.493,2.7,3.6,.734,0.8,3.0,3.8,6.3,0.7,0.3,3.5,2.3,16.6,HOU,2130240.0,3845083.0,0.0,0.0,0.0,0.0,1st Round Pick,5975323.0
431,"Jr., Porter, Michael",SF,22,DEN,61,54,31.3,7.3,13.4,.542,2.8,6.3,.445,4.5,7.1,.628,.646,1.7,2.2,.791,1.5,5.8,7.3,1.1,0.7,0.9,1.3,2.1,19.0,DEN,5258735.0,29750000.0,32130000.0,34510000.0,36890000.0,39270000.0,1st Round Pick,150538735.0
432,"Jr., Porter, Otto",SF-PF,27,TOT,28,6,21.6,3.5,8.1,.432,1.4,3.7,.375,2.1,4.4,.480,.518,1.3,1.5,.857,1.0,4.4,5.4,2.0,0.6,0.1,0.9,1.5,9.7,GSW,2389641.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,2389641.0
433,"Jr., Porter, Otto",SF,27,CHI,25,6,21.6,3.6,8.1,.441,1.5,3.8,.400,2.0,4.3,.477,.535,1.2,1.5,.838,1.1,4.4,5.5,2.0,0.5,0.2,1.0,1.5,9.9,GSW,2389641.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,2389641.0
434,"Jr., Porter, Otto",PF,27,ORL,3,0,22.0,3.0,8.3,.360,0.3,3.0,.111,2.7,5.3,.500,.380,1.7,1.7,1.000,0.0,4.7,4.7,1.7,1.3,0.0,0.0,1.3,8.0,GSW,2389641.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,2389641.0
435,"Portis, Bobby",C,25,MIL,66,7,20.8,4.7,9.1,.523,1.1,2.4,.471,3.6,6.7,.542,.585,0.8,1.1,.740,1.9,5.2,7.1,1.1,0.8,0.4,0.8,1.7,11.4,MIL,4347600.0,4564980.0,0.0,0.0,0.0,0.0,Non Bird,4347600.0
436,"Porziņģis, Kristaps",C,25,DAL,43,43,30.9,7.6,15.9,.476,2.3,6.0,.376,5.3,9.9,.536,.547,2.7,3.2,.855,1.9,7.0,8.9,1.6,0.5,1.3,1.2,2.7,20.1,DAL,31650600.0,33833400.0,36016200.0,0.0,0.0,0.0,Bird Rights,65484000.0
437,"Powell, Dwight",C,29,DAL,58,19,16.7,2.1,3.3,.619,0.1,0.4,.238,2.0,3.0,.665,.631,1.7,2.1,.782,1.4,2.7,4.0,1.1,0.6,0.5,0.7,2.3,5.9,DAL,11000000.0,11814815.0,0.0,0.0,0.0,0.0,Cap Space,22814815.0
438,"Powell, Norman",SG-SF,27,TOT,69,58,32.0,6.3,13.3,.477,2.5,6.0,.411,3.9,7.3,.532,.570,3.4,3.9,.871,0.6,2.5,3.1,1.9,1.2,0.3,1.7,2.3,18.6,POR,15517242.0,16758621.0,18000000.0,19241379.0,20482758.0,0.0,Bird,90000000.0
439,"Powell, Norman",SG,27,TOR,42,31,30.4,6.7,13.5,.498,2.8,6.4,.439,3.9,7.1,.552,.602,3.4,3.9,.865,0.5,2.5,3.0,1.8,1.1,0.2,1.8,2.3,19.6,POR,15517242.0,16758621.0,18000000.0,19241379.0,20482758.0,0.0,Bird,90000000.0
440,"Powell, Norman",SF,27,POR,27,27,34.4,5.8,13.0,.443,2.0,5.4,.361,3.8,7.6,.502,.518,3.5,4.0,.880,0.9,2.4,3.3,1.9,1.3,0.4,1.6,2.3,17.0,POR,15517242.0,16758621.0,18000000.0,19241379.0,20482758.0,0.0,Bird,90000000.0
441,"Prince, Taurean",PF,26,TOT,41,10,22.1,3.2,8.0,.401,1.5,3.8,.400,1.7,4.2,.401,.495,1.6,1.9,.855,0.5,3.0,3.5,1.9,0.7,0.6,1.1,1.8,9.5,MIN,15057692.0,0.0,0.0,0.0,0.0,0.0,1st Round pick,15057692.0
442,"Prince, Taurean",PF,26,BRK,12,4,18.2,2.5,6.2,.405,1.1,3.1,.351,1.4,3.1,.459,.493,2.0,2.3,.889,0.2,2.7,2.8,0.6,0.7,0.7,0.9,1.8,8.1,MIN,15057692.0,0.0,0.0,0.0,0.0,0.0,1st Round pick,15057692.0
443,"Prince, Taurean",PF,26,CLE,29,6,23.7,3.5,8.7,.399,1.7,4.1,.415,1.8,4.7,.385,.496,1.4,1.7,.837,0.6,3.1,3.7,2.4,0.7,0.5,1.2,1.9,10.1,MIN,15057692.0,0.0,0.0,0.0,0.0,0.0,1st Round pick,15057692.0
444,"Pritchard, Payton",SG,23,BOS,66,4,19.2,2.8,6.3,.440,1.5,3.8,.411,1.2,2.6,.482,.562,0.6,0.7,.889,0.5,1.9,2.4,1.8,0.6,0.1,0.8,1.6,7.7,BOS,2137440.0,2239200.0,4037278.0,0.0,0.0,0.0,1st Round Pick,4376640.0
445,"Quickley, Immanuel",PG,21,NYK,64,3,19.4,3.6,9.1,.395,1.8,4.7,.389,1.7,4.3,.401,.497,2.4,2.7,.891,0.4,1.8,2.1,2.0,0.5,0.2,0.9,1.8,11.4,NYK,2210640.0,2316240.0,4171548.0,0.0,0.0,0.0,1st Round Pick,4526880.0
446,"Ramsey, Jahmi'us",SG,19,SAC,13,0,7.2,1.2,2.9,.395,0.4,1.5,.263,0.8,1.5,.526,.461,0.4,0.4,1.000,0.2,0.6,0.8,0.5,0.3,0.1,0.2,0.6,3.1,SAC,1517981.0,1782621.0,0.0,0.0,0.0,0.0,MLE,1517981.0
447,"Randle, Julius",PF,26,NYK,71,71,37.6,8.5,18.6,.456,2.3,5.5,.411,6.2,13.1,.474,.516,4.9,6.0,.811,1.2,9.0,10.2,6.0,0.9,0.3,3.4,3.2,24.1,NYK,19800000.0,23760000.0,25660800.0,27561600.0,29462400.0,0.0,Cap Space,96782400.0
448,"Reddish, Cam",SF,21,ATL,26,21,28.8,3.7,10.1,.365,1.3,4.8,.262,2.4,5.3,.460,.428,2.6,3.2,.817,0.8,3.2,4.0,1.3,1.3,0.3,1.3,2.6,11.2,NYK,4670160.0,5954454.0,0.0,0.0,0.0,0.0,1st Round Pick,10624614.0
449,"Reed, Paul",PF,21,PHI,26,0,6.8,1.6,3.0,.538,0.0,0.2,.000,1.6,2.8,.583,.538,0.2,0.3,.500,1.2,1.2,2.3,0.5,0.4,0.5,0.5,1.1,3.4,PHI,1517981.0,1782621.0,0.0,0.0,0.0,0.0,,0.0
450,"Reid, Naz",C,21,MIN,70,15,19.2,4.3,8.3,.523,0.9,2.5,.351,3.5,5.8,.597,.576,1.6,2.4,.693,1.2,3.4,4.6,1.0,0.5,1.1,1.0,2.6,11.2,MIN,1782621.0,1930681.0,0.0,0.0,0.0,0.0,,0.0
451,"Richards, Nick",PF,23,CHO,18,0,3.5,0.2,0.5,.444,0.0,0.1,.000,0.2,0.4,.500,.444,0.4,0.6,.636,0.2,0.4,0.6,0.1,0.0,0.0,0.2,0.4,0.8,CHO,1517981.0,1782621.0,0.0,0.0,0.0,0.0,Cap Space,1517981.0
452,"Richardson, Josh",SG,27,DAL,59,56,30.3,4.5,10.5,.427,1.5,4.5,.330,3.0,5.9,.501,.498,1.7,1.8,.917,0.9,2.4,3.3,2.6,1.0,0.4,1.3,2.2,12.1,BOS,11600000.0,12384672.0,0.0,0.0,0.0,0.0,Minimum Salary,23984672.0
453,"Rivers, Austin",SG,28,TOT,36,7,23.5,2.9,6.8,.424,1.5,4.1,.369,1.4,2.7,.510,.537,0.6,0.9,.710,0.2,2.1,2.3,2.3,0.8,0.1,1.0,1.8,7.9,DEN,2401537.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,2401537.0
454,"Rivers, Austin",SG,28,NYK,21,2,21.0,2.8,6.4,.430,1.3,3.7,.364,1.4,2.8,.517,.533,0.5,0.7,.714,0.2,2.0,2.2,2.0,0.6,0.0,1.0,1.5,7.3,DEN,2401537.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,2401537.0
455,"Rivers, Austin",SG,28,DEN,15,5,26.9,3.1,7.3,.418,1.8,4.8,.375,1.3,2.5,.500,.541,0.8,1.1,.706,0.2,2.1,2.3,2.6,1.2,0.1,0.9,2.1,8.7,DEN,2401537.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,2401537.0
